idea,status,latency,score,critique
Open-source freelance designers infrastructure,FAIL (500),20.30s,0,"{""detail"":""name 're' is not defined""}"
SaaS for space miners optimization,FAIL (500),19.84s,0,"{""detail"":""name 're' is not defined""}"
Decentralized urban gardeners market,FAIL (500),21.14s,0,"{""detail"":""name 're' is not defined""}"
Precision e-waste recycling analytics,FAIL (429),0.17s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
Marketplace for ant farmers services,FAIL (429),0.00s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
Uber for podcasters,FAIL (429),0.00s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
SaaS for plumbers optimization,FAIL (429),0.00s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
SaaS for sustainable fashion optimization,FAIL (429),0.00s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
Smart drone pilots hardware,FAIL (429),0.01s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
Uber for space miners,FAIL (429),0.00s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
B2B ant farmers management,FAIL (429),0.01s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
Netflix for crypto traders,FAIL (429),0.00s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
Netflix for legal firms,FAIL (429),0.00s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
Decentralized microbiologists market,FAIL (429),0.00s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
Decentralized ant farmers market,FAIL (429),0.00s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
Precision freelance designers analytics,FAIL (429),0.00s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
Precision personal chefs analytics,FAIL (429),0.01s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
Marketplace for sustainable fashion services,FAIL (429),0.00s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
Netflix for indie hackers,FAIL (429),0.29s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
Marketplace for indie hackers services,FAIL (429),0.00s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
SaaS for crypto traders optimization,FAIL (429),0.00s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
Uber for drone pilots,FAIL (429),0.00s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
Marketplace for telemedicine services,FAIL (429),0.00s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
Eco-friendly podcasters alternative,FAIL (500),19.40s,0,"{""detail"":""name 're' is not defined""}"
Eco-friendly plumbers alternative,FAIL (429),0.01s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
Open-source tattoo artists infrastructure,FAIL (500),18.32s,0,"{""detail"":""name 're' is not defined""}"
Eco-friendly microbiologists alternative,FAIL (500),18.51s,0,"{""detail"":""name 're' is not defined""}"
Subscription-based dog walkers service,FAIL (500),25.17s,0,"{""detail"":""name 're' is not defined""}"
Uber for plumbers,FAIL (429),0.00s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
Marketplace for drone pilots services,FAIL (429),0.00s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
Open-source e-waste recycling infrastructure,FAIL (429),0.00s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
Precision solar installers analytics,FAIL (429),0.00s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
SaaS for personal chefs optimization,FAIL (429),0.01s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
Precision ant farmers analytics,FAIL (429),0.00s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
Vertical CRM for urban gardeners,FAIL (500),18.48s,0,"{""detail"":""name 're' is not defined""}"
Smart remote teachers hardware,FAIL (500),18.11s,0,"{""detail"":""name 're' is not defined""}"
AI-powered legal firms assistant,FAIL (429),0.00s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
Eco-friendly vintage car owners alternative,FAIL (429),0.01s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
SaaS for vintage car owners optimization,FAIL (429),0.00s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
Smart dog walkers hardware,FAIL (429),0.00s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
Uber for indie hackers,FAIL (429),0.00s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
Subscription-based tattoo artists service,FAIL (429),0.00s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
B2B urban gardeners management,FAIL (429),0.00s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
AI-powered drone pilots assistant,FAIL (429),0.00s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
Eco-friendly legal firms alternative,FAIL (429),0.00s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
SaaS for freelance designers optimization,FAIL (429),0.00s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
Netflix for podcasters,FAIL (429),0.00s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
Precision plumbers analytics,FAIL (429),0.00s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
Subscription-based urban gardeners service,FAIL (429),0.00s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
Subscription-based solar installers service,FAIL (429),0.00s,0,"{""error"":""Rate limit exceeded: 5 per 1 minute""}"
